"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"TSSOP20";1;"";;;
2;"IC1";"TQFP32";1;"ATMEGA328-P";;;
3;"SW1";"SW_PUSH_SMALL";1;"SW_PUSH";;;
4;"U4";"SOT23_6";1;"MIC2039";;;
5;"U5";"SOT223";1;"";;;
6;"C2,C7,C1";"SM0603_Capa";3;"0.1uF";;;
7;"C5";"SM0603_Capa";1;"2.2uF";;;
8;"C6,C4";"SM0603_Capa";2;"C";;;
9;"C3";"SM0603_Capa";1;"10NF";;;
10;"C9,C8";"SM0603_Capa";2;"18pF";;;
11;"R3,R2";"SM0603";2;"4k7";;;
12;"R7";"SM0603";1;"10k";;;
13;"R6";"SM0603";1;"330R";;;
14;"R1";"SM0603";1;"100K";;;
15;"R4";"SM0603";1;"10K";;;
16;"R5";"SM0603";1;"576";;;
17;"U1";"QFN-24/3MM";1;"";;;
18;"P2";"PIN_ARRAY_4x1";1;"USB";;;
19;"P1";"pin_array_3x2";1;"ICSP";;;
20;"K4,K2,K3,K1,K5";"PIN_ARRAY_3X1";5;"";;;
21;"D2,D1";"LED-0805";2;"LED";;;
22;"X1";"HC-49V";1;"";;;
23;"U2";"EDISON_DAUGHTER";1;"";;;
